"ID","Pedigree","INDV","F_MISS","Comments_isu_gb","Comments_note"
"Ames 10249","GA212","Ames10249:250033148",0.259815,"other","ok"
"Ames 10252","GA222","Ames10252:250033235",0.24278,"other","ok"
"Ames 10254","GE54","Ames10254:250033198",0.219847,"other","ok"
"Ames 10255","GE72","Ames10255:250033271",0.217631,"other","ok"
"Ames 10256","GE129","Ames10256:250033096",0.286512,"other","ok"
"Ames 10261","GE335","Ames10261:250033107",0.222343,"other","ok"
"Ames 10265","L 678","Ames10265:250035124",0.323681,"other","ok"
"Ames 10271","SC84E","Ames10271:250031710",0.209206,"other","ok"
"Ames 10272","SC90","Ames10272:250033211",0.271388,"other","ok"
"Ames 10273","SC102","Ames10273:250031771",0.257537,"other","ok"
"Ames 10274","SC144","Ames10274:250033192",0.394383,"other","ok"
"Ames 10277","SC235","Ames10277:250033095",0.328719,"other","ok"
"Ames 10287","ABPl 3","Ames10287:250032568",0.299359,"other","ok"
"Ames 12727","NC83","Ames12727:250035100",0.315256,"other","ok"
"Ames 12728","NC220","Ames12728:250032927",0.226429,"other","ok"
"Ames 12729","NC222","Ames12729:250033110",0.205982,"other","ok"
"Ames 12730","NC224","Ames12730:250033034",0.294813,"other","ok"
"Ames 12731","NC230","Ames12731:250032800",0.198831,"other","ok"
"Ames 12740","NC248","Ames12740:250033043",0.2231,"other","ok"
"Ames 12814","89S4083","Ames12814:250031891",0.232105,"other","ok"
"Ames 12815","89S4098","Ames12815:250031896",0.0563323,"other","ok"
"Ames 12816","89S4107","Ames12816:250041743",0.290741,"other","ok"
"Ames 12817","89S4110","Ames12817:250031903",0.244747,"other","ok"
"Ames 12818","89S4117","Ames12818:250041678",0.0653375,"other","ok"
"Ames 12819","89S4125","Ames12819:250031873",0.240938,"other","ok"
"Ames 12820","89S4127","Ames12820:250033583",0.199565,"other","ok"
"Ames 12821","89S4145","Ames12821:250031934",0.294845,"other","ok"
"Ames 12822","89S4154","Ames12822:250033599",0.185134,"other","ok"
"Ames 12823","89S4157","Ames12823:250033553",0.202201,"other","ok"
"Ames 12824","89S4190","Ames12824:250031960",0.0959219,"other","ok"
"Ames 14112","Va3A","Ames14112:250031426",0.261089,"other","ok"
"Ames 14113","Va12C","Ames14113:250032833",0.183398,"other","ok"
"Ames 14114","Va14A","Ames14114:250032791",0.173179,"other","ok"
"Ames 14115","Va35C","Ames14115:250034754",0.136653,"other","ok"
"Ames 14116","Va36A","Ames14116:250033794",0.149207,"other","ok"
"Ames 14211","EAST 028 WHITE COB","Ames14211:250031517",0.226672,"other","ok"
"Ames 18999","Ab28A","Ames18999:250032813",0.228086,"other","ok"
"Ames 19000","VaW6","Ames19000:250031259",0.264866,"other","ok"
"Ames 19001","Va16","Ames19001:250034888",0.183752,"other","ok"
"Ames 19002","Va17","Ames19002:250033017",0.1359,"other","ok"
"Ames 19003","Va18A","Ames19003:250033145",0.192006,"other","ok"
"Ames 19004","Va21A","Ames19004:250033179",0.41547,"other","ok"
"Ames 19006","Va22B","Ames19006:250031408",0.154733,"other","ok"
"Ames 19007","Va23","Ames19007:250031290",0.157434,"other","ok"
"Ames 19008","Va24","Ames19008:250041562",0.149542,"other","ok"
"Ames 19009","Va30","Ames19009:250033582",0.131086,"other","ok"
"Ames 19010","Va37","Ames19010:250034541",0.22921,"other","ok"
"Ames 19011","Va38","Ames19011:250031433",0.237305,"other","ok"
"Ames 19012","Va39","Ames19012:250033821",0.152335,"other","ok"
"Ames 19013","Va46","Ames19013:250033793",0.160902,"other","ok"
"Ames 19014","Va52","Ames19014:250033702",0.116789,"other","ok"
"Ames 19016","Va59","Ames19016:250041550",0.152433,"other","ok"
"Ames 19017","Va60","Ames19017:250033742",0.209362,"other","ok"
"Ames 19019","Va91","Ames19019:250033836",0.148041,"other","ok"
"Ames 19283","B37 TRf","Ames19283:250031118",0.0907409,"other","ok"
"Ames 19284","C103","Ames19284:250032795",0.111128,"other","ok"
"Ames 19287","Mo17TRf","Ames19287:250031541",0.103028,"other","ok"
"Ames 19288","Oh43","Ames19288:250041724",0.0913981,"other","ok"
"Ames 19293","Wf9","Ames19293:250031532",0.099956,"other","ok"
"Ames 19308","A634","Ames19308:250033343",0.110923,"other","ok"
"Ames 19309","A635","Ames19309:250031394",0.0875262,"other","ok"
"Ames 19313","C123","Ames19313:250033682",0.16514,"other","ok"
"Ames 19316","CM174","Ames19316:250032221",0.0944433,"other","ok"
"Ames 19318","H107","Ames19318:250031436",0.139029,"other","ok"
"Ames 19319","H95","Ames19319:250033727",0.152338,"other","ok"
"Ames 19321","N28","Ames19321:250031444",0.154544,"other","ok"
"Ames 19323","Oh7B","Ames19323:250032910",0.102324,"other","ok"
"Ames 19324","Pa871","Ames19324:250031199",0.204774,"other","ok"
"Ames 19326","R168","Ames19326:250033412",0.14893,"other","ok"
"Ames 19327","Tx303","Ames19327:250042351",0.125327,"other","ok"
"Ames 19328","Va22","Ames19328:250031547",0.160626,"other","ok"
"Ames 19330","W182B","Ames19330:250034745",0.135665,"other","ok"
"Ames 20118","Mo25W","Ames20118:250033181",0.243583,"other","ok"
"Ames 20120","Mo42","Ames20120:250031157",0.107745,"other","ok"
"Ames 20136","H21W","Ames20136:250030992",0.411996,"other","ok"
"Ames 20137","H25W","Ames20137:250030999",0.25017,"other","ok"
"Ames 20140","Mt42","Ames20140:250032343",0.288603,"other","ok"
"Ames 21095","R12","Ames21095:250031537",0.311561,"other","ok"
"Ames 21096","R35","Ames21096:250032520",0.267167,"other","ok"
"Ames 21512","CI31A","Ames21512:250035113",0.215598,"other","ok"
"Ames 22441","CH157","Ames22441:250032253",0.308628,"other","ok"
"Ames 22442","Ms100","Ames22442:250032551",0.207891,"other","ok"
"Ames 22747","CM48","Ames22747:250032296",0.212521,"other","ok"
"Ames 22748","H100","Ames22748:250031306",0.139592,"other","ok"
"Ames 22751","H114","Ames22751:250033739",0.114544,"other","ok"
"Ames 22752","H119","Ames22752:250033852",0.073588,"other","ok"
"Ames 22753","H123","Ames22753:250031531",0.0570223,"other","ok"
"Ames 22754","K55","Ames22754:250031565",0.145923,"other","ok"
"Ames 22756","Os426","Ames22756:250031925",0.291072,"other","ok"
"Ames 22757","Pa405","Ames22757:250033587",0.141107,"other","ok"
"Ames 22759","Tx29A","Ames22759:250042450",0.405796,"other","ok"
"Ames 22760","Tx71","Ames22760:250032200",0.318761,"other","ok"
"Ames 22762","Tx118","Ames22762:250031821",0.162971,"other","ok"
"Ames 22765","Tx738","Ames22765:250042431",0.179093,"other","ok"
"Ames 22766","Tx817w","Ames22766:250032079",0.259372,"other","ok"
"Ames 22767","W59E","Ames22767:250031911",0.199856,"other","ok"
"Ames 22792","ABPl 2","Ames22792:250034854",0.29164,"other","ok"
"Ames 22793","ABPl 4","Ames22793:250034872",0.228589,"other","ok"
"Ames 22794","ABPl 5","Ames22794:250034747",0.107382,"other","ok"
"Ames 2327","Lai 1029","Ames2327:250031291",0.134612,"other","ok"
"Ames 2328","North 7","Ames2328:250031527",0.23123,"other","ok"
"Ames 2329","SW 322","Ames2329:250031666",0.211707,"other","ok"
"Ames 2330","East 028","Ames2330:250033592",0.251092,"other","ok"
"Ames 2331","Yellow 3-4","Ames2331:250032832",0.380125,"other","ok"
"Ames 2332","Bei 10 = North 10","Ames2332:250031367",0.276322,"other","ok"
"Ames 2333","Yong 28","Ames2333:250031874",0.382325,"other","ok"
"Ames 2334","Yong 28 (br2)","Ames2334:250033543",0.32019,"other","ok"
"Ames 2335","Ye 4","Ames2335:250031923",0.0840135,"other","ok"
"Ames 2336","52220","Ames2336:250031533",0.247792,"other","ok"
"Ames 2337","Huanyao","Ames2337:250031554",0.0867015,"other","ok"
"Ames 2338","(Twan x Tzuh)-S6","Ames2338:250033662",0.276844,"other","ok"
"Ames 23389","A15","Ames23389:250031886",0.256479,"other","ok"
"Ames 2339","Huobai","Ames2339:250033815",0.208545,"other","ok"
"Ames 23391","A34","Ames23391:250034746",0.330051,"other","ok"
"Ames 23392","A90","Ames23392:250032393",0.21047,"other","ok"
"Ames 23393","A96","Ames23393:250034806",0.211938,"other","ok"
"Ames 23394","A116","Ames23394:250034877",0.205207,"other","ok"
"Ames 23395","A152","Ames23395:250034945",0.200554,"other","ok"
"Ames 23396","A155","Ames23396:250032391",0.216019,"other","ok"
"Ames 23397","A158","Ames23397:250034840",0.203296,"other","ok"
"Ames 23398","A166","Ames23398:250034722",0.225922,"other","ok"
"Ames 23399","A201","Ames23399:250033163",0.177853,"other","ok"
"Ames 2340","WFg 3-9","Ames2340:250034668",0.251345,"other","ok"
"Ames 23400","A203","Ames23400:250034570",0.165751,"other","ok"
"Ames 23401","A204","Ames23401:250032458",0.193893,"other","ok"
"Ames 23402","A208","Ames23402:250034979",0.181946,"other","ok"
"Ames 23403","A218","Ames23403:250032385",0.199576,"other","ok"
"Ames 23404","A223","Ames23404:250033716",0.158453,"other","ok"
"Ames 23405","A239","Ames23405:250032535",0.214026,"other","ok"
"Ames 23406","A251","Ames23406:250032412",0.188569,"other","ok"
"Ames 23407","A257","Ames23407:250032472",0.150481,"other","ok"
"Ames 23408","A260","Ames23408:250034827",0.227452,"other","ok"
"Ames 23409","A264","Ames23409:250034833",0.236912,"other","ok"
"Ames 2341","S330","Ames2341:250031415",0.174481,"other","ok"
"Ames 23410","A265","Ames23410:250034878",0.228885,"other","ok"
"Ames 23413","A286","Ames23413:250034591",0.159683,"other","ok"
"Ames 23414","A288","Ames23414:250032557",0.169883,"other","ok"
"Ames 23415","A295","Ames23415:250034736",0.173693,"other","ok"
"Ames 23417","A305","Ames23417:250032420",0.230373,"other","ok"
"Ames 23418","A308","Ames23418:250032507",0.291903,"other","ok"
"Ames 23419","A310","Ames23419:250034814",0.32783,"other","ok"
"Ames 23420","A312","Ames23420:250032541",0.279052,"other","ok"
"Ames 23421","A321","Ames23421:250032456",0.158586,"other","ok"
"Ames 23422","A322","Ames23422:250032410",0.301467,"other","ok"
"Ames 23423","A334","Ames23423:250032440",0.276696,"other","ok"
"Ames 23424","A340","Ames23424:250032464",0.211391,"other","ok"
"Ames 23425","A344","Ames23425:250034582",0.172048,"other","ok"
"Ames 23426","A357","Ames23426:250032399",0.267206,"other","ok"
"Ames 23427","A374","Ames23427:250034842",0.164814,"other","ok"
"Ames 23428","A375","Ames23428:250041451",0.1615,"other","ok"
"Ames 23429","A385","Ames23429:250034847",0.256593,"other","ok"
"Ames 23430","A401","Ames23430:250032597",0.254122,"other","ok"
"Ames 23431","A407","Ames23431:250032465",0.172669,"other","ok"
"Ames 23433","A422","Ames23433:250032537",0.259684,"other","ok"
"Ames 23434","A424","Ames23434:250032347",0.17057,"other","ok"
"Ames 23435","A427","Ames23435:250032453",0.366698,"other","ok"
"Ames 23436","A449","Ames23436:250035218",0.211512,"other","ok"
"Ames 23437","A450","Ames23437:250034832",0.21401,"other","ok"
"Ames 23438","A451","Ames23438:250032401",0.243733,"other","ok"
"Ames 23439","A480","Ames23439:250034586",0.204924,"other","ok"
"Ames 23440","A495","Ames23440:250033269",0.231596,"other","ok"
"Ames 23441","A497","Ames23441:250032508",0.2124,"other","ok"
"Ames 23442","A498","Ames23442:250034672",0.200604,"other","ok"
"Ames 23443","A499","Ames23443:250033336",0.198882,"other","ok"
"Ames 23444","A500","Ames23444:250032336",0.206361,"other","ok"
"Ames 23445","A502","Ames23445:250032348",0.218389,"other","ok"
"Ames 23446","A508","Ames23446:250032437",0.198598,"other","ok"
"Ames 23447","A509","Ames23447:250032575",0.201881,"other","ok"
"Ames 23448","A547","Ames23448:250032403",0.169668,"other","ok"
"Ames 23449","A548","Ames23449:250032536",0.186752,"other","ok"
"Ames 23450","A556","Ames23450:250033472",0.235329,"other","ok"
"Ames 23451","A572","Ames23451:250034815",0.264211,"other","ok"
"Ames 23452","A575","Ames23452:250034559",0.194121,"other","ok"
"Ames 23455","A588","Ames23455:250032387",0.152105,"other","ok"
"Ames 23456","A617","Ames23456:250033425",0.211134,"other","ok"
"Ames 23457","A618","Ames23457:250032518",0.1916,"other","ok"
"Ames 23458","A619HT","Ames23458:250033051",0.104242,"other","ok"
"Ames 23459","A622","Ames23459:250033693",0.301494,"other","ok"
"Ames 23460","A624","Ames23460:250034730",0.217166,"other","ok"
"Ames 23461","A625","Ames23461:250032595",0.225091,"other","ok"
"Ames 23463","A627","Ames23463:250032436",0.177511,"other","ok"
"Ames 23464","A628","Ames23464:250032533",0.175857,"other","ok"
"Ames 23465","A629","Ames23465:250033080",0.106562,"other","ok"
"Ames 23466","A630","Ames23466:250032558",0.115241,"other","ok"
"Ames 23467","A631","Ames23467:250032581",0.119499,"other","ok"
"Ames 23468","A632HT","Ames23468:250032510",0.0872644,"other","ok"
"Ames 23469","A632HTN","Ames23469:250031880",0.0963416,"other","ok"
"Ames 23470","A632RpRp","Ames23470:250033601",0.0921803,"other","ok"
"Ames 23471","A633","Ames23471:250032473",0.0856999,"other","ok"
"Ames 23473","A635RpRp","Ames23473:250034738",0.091626,"other","ok"
"Ames 23474","A636","Ames23474:250032426",0.0932625,"other","ok"
"Ames 23475","A637","Ames23475:250032324",0.148322,"other","ok"
"Ames 23476","A638","Ames23476:250032381",0.117452,"other","ok"
"Ames 23477","A640","Ames23477:250034957",0.374019,"other","ok"
"Ames 23478","A643","Ames23478:250032592",0.220127,"other","ok"
"Ames 23479","A644","Ames23479:250032422",0.206844,"other","ok"
"Ames 23480","A645","Ames23480:250032452",0.139077,"other","ok"
"Ames 23481","A646","Ames23481:250034793",0.139334,"other","ok"
"Ames 23482","A649","Ames23482:250034623",0.168943,"other","ok"
"Ames 23483","A650","Ames23483:250032532",0.158908,"other","ok"
"Ames 23484","A651","Ames23484:250032571",0.263747,"other","ok"
"Ames 23485","A652","Ames23485:250032419",0.151943,"other","ok"
"Ames 23486","A653","Ames23486:250034692",0.150291,"other","ok"
"Ames 23487","A655","Ames23487:250041459",0.179239,"other","ok"
"Ames 23488","A656","Ames23488:250032572",0.144535,"other","ok"
"Ames 23490","A666","Ames23490:250032413",0.179284,"other","ok"
"Ames 23491","A667","Ames23491:250032554",0.205398,"other","ok"
"Ames 23492","A668","Ames23492:250034868",0.186939,"other","ok"
"Ames 23493","A669","Ames23493:250033720",0.133108,"other","ok"
"Ames 23494","A670","Ames23494:250034838",0.103279,"other","ok"
"Ames 23495","A671","Ames23495:250034605",0.231713,"other","ok"
"Ames 23496","A672","Ames23496:250041437",0.155646,"other","ok"
"Ames 23497","A673","Ames23497:250032466",0.220221,"other","ok"
"Ames 23498","A674","Ames23498:250034867",0.325857,"other","ok"
"Ames 23499","A675","Ames23499:250034817",0.129275,"other","ok"
"Ames 23500","A676","Ames23500:250032457",0.176245,"other","ok"
"Ames 23501","A677","Ames23501:250032524",0.155853,"other","ok"
"Ames 23502","A678","Ames23502:250032598",0.209192,"other","ok"
"Ames 23503","A680","Ames23503:250031669",0.0453228,"other","ok"
"Ames 23504","A681","Ames23504:250034844",0.0647641,"other","ok"
"Ames 23505","A683","Ames23505:250032596",0.10204,"other","ok"
"Ames 23922","Oh51A","Ames23922:250031916",0.217925,"other","ok"
"Ames 23924","Tx706","Ames23924:250032070",0.262666,"other","ok"
"Ames 24585","CG10","Ames24585:250035216",0.222065,"other","ok"
"Ames 24589","I159","Ames24589:250033745",0.166385,"other","ok"
"Ames 24590","I198","Ames24590:250031374",0.339634,"other","ok"
"Ames 24704","MS1","Ames24704:250034761",0.157249,"other","ok"
"Ames 24705","MS4","Ames24705:250032408",0.411124,"other","ok"
"Ames 24706","MS12","Ames24706:250032451",0.240281,"other","ok"
"Ames 24707","MS24","Ames24707:250034758",0.285835,"other","ok"
"Ames 24708","MS24A","Ames24708:250032562",0.293833,"other","ok"
"Ames 24709","MS57","Ames24709:250032528",0.222526,"other","ok"
"Ames 24710","MS67","Ames24710:250034673",0.213875,"other","ok"
"Ames 24711","MS68","Ames24711:250032545",0.174168,"other","ok"
"Ames 24712","MS71","Ames24712:250041424",0.113381,"other","ok"
"Ames 24713","MS72","Ames24713:250034804",0.282098,"other","ok"
"Ames 24714","MS74","Ames24714:250034680",0.203347,"other","ok"
"Ames 24715","MS75","Ames24715:250034679",0.165418,"other","ok"
"Ames 24716","MS76","Ames24716:250032388",0.119161,"other","ok"
"Ames 24717","MS77","Ames24717:250032544",0.446183,"other","ok"
"Ames 24718","MS78","Ames24718:250034760",0.0939494,"other","ok"
"Ames 24719","MS79","Ames24719:250032587",0.109197,"other","ok"
"Ames 24720","MS80","Ames24720:250040775",0.140377,"other","ok"
"Ames 24722","MS89","Ames24722:250034811",0.169983,"other","ok"
"Ames 24723","MS91","Ames24723:250032269",0.267571,"other","ok"
"Ames 24724","MS92","Ames24724:250032567",0.197651,"other","ok"
"Ames 24725","MS93","Ames24725:250032585",0.217533,"other","ok"
"Ames 24726","MS100","Ames24726:250034803",0.21941,"other","ok"
"Ames 24727","MS106","Ames24727:250032402",0.195569,"other","ok"
"Ames 24728","MS107","Ames24728:250041472",0.305872,"other","ok"
"Ames 24729","MS116","Ames24729:250033552",0.359566,"other","ok"
"Ames 24730","MS132","Ames24730:250033197",0.166063,"other","ok"
"Ames 24732","MS141","Ames24732:250032433",0.350114,"other","ok"
"Ames 24733","MS142","Ames24733:250032570",0.258592,"other","ok"
"Ames 24734","MS153","Ames24734:250034693",0.359696,"other","ok"
"Ames 24735","MS198","Ames24735:250032583",0.118657,"other","ok"
"Ames 24736","MS199","Ames24736:250034855",0.204281,"other","ok"
"Ames 24737","MS200","Ames24737:250032445",0.270128,"other","ok"
"Ames 24738","MS201","Ames24738:250032546",0.160757,"other","ok"
"Ames 24739","MS203","Ames24739:250033603",0.182572,"other","ok"
"Ames 24740","MS204","Ames24740:250032380",0.249307,"other","ok"
"Ames 24741","MS206","Ames24741:250032409",0.388542,"other","ok"
"Ames 24742","MS211","Ames24742:250032447",0.2812,"other","ok"
"Ames 24743","MS214","Ames24743:250032553",0.204391,"other","ok"
"Ames 24744","MS215","Ames24744:250034928",0.25937,"other","ok"
"Ames 24745","MS216","Ames24745:250032439",0.200802,"other","ok"
"Ames 24746","MS221","Ames24746:250034629",0.15563,"other","ok"
"Ames 24747","MS222","Ames24747:250032582",0.178078,"other","ok"
"Ames 24748","MS223","Ames24748:250032522",0.168485,"other","ok"
"Ames 24749","MS224","Ames24749:250034839",0.188771,"other","ok"
"Ames 24750","MS225","Ames24750:250040794",0.130716,"other","ok"
"Ames 24751","MS226","Ames24751:250032432",0.164731,"other","ok"
"Ames 24752","MS1334","Ames24752:250032512",0.272956,"other","ok"
"Ames 24989","Va99","Ames24989:250033695",0.162554,"other","ok"
"Ames 25219","A619Ht1","Ames25219:250034741",0.104419,"other","ok"
"Ames 25220","A619Ht2","Ames25220:250033789",0.105893,"other","ok"
"Ames 25221","A619Ht3","Ames25221:250033683",0.104949,"other","ok"
"Ames 2523","38-11R PARENT HB 19 INB","Ames2523:250032199",0.16825,"other","ok"
"Ames 25372","Pa91HT1","Ames25372:250034986",0.133901,"other","ok"
"Ames 25373","Pa91HT2","Ames25373:250035128",0.141447,"other","ok"
"Ames 25374","Pa91HT3","Ames25374:250031254",0.146219,"other","ok"
"Ames 25559","H60","Ames25559:250031530",0.206564,"other","ok"
"Ames 26021","P8","Ames26021:250034725",0.274897,"other","ok"
"Ames 26028","CI 540","Ames26028:250031141",0.16802,"other","ok"
"Ames 26114","CI 1","Ames26114:250031311",0.285549,"other","ok"
"Ames 26115","CI 2","Ames26115:250035120",0.215833,"other","ok"
"Ames 26116","CI 3A","Ames26116:250031049",0.213922,"other","ok"
"Ames 26118","CI 11B","Ames26118:250035054",0.276606,"other","ok"
"Ames 26119","CI 19","Ames26119:250035075",0.338413,"other","ok"
"Ames 26120","CI 20","Ames26120:250034828",0.316052,"other","ok"
"Ames 26121","CI 28","Ames26121:250034981",0.166659,"other","ok"
"Ames 26122","CI 28B","Ames26122:250031069",0.165701,"other","ok"
"Ames 26123","CI 28C","Ames26123:250031140",0.189912,"other","ok"
"Ames 26124","CI 30","Ames26124:250031025",0.201694,"other","ok"
"Ames 26125","CI 31","Ames26125:250034887",0.216787,"other","ok"
"Ames 26126","CI 32","Ames26126:250031190",0.175573,"other","ok"
"Ames 26127","CI 34","Ames26127:250031185",0.217536,"other","ok"
"Ames 26128","CI 40H","Ames26128:250034974",0.205212,"other","ok"
"Ames 26129","CI 41","Ames26129:250031037",0.361813,"other","ok"
"Ames 26130","CI 46","Ames26130:250034927",0.2912,"other","ok"
"Ames 26131","CI 70","Ames26131:250030993",0.334937,"other","ok"
"Ames 26133","CI 74","Ames26133:250035052",0.34974,"other","ok"
"Ames 26134","CI 75","Ames26134:250034953",0.215631,"other","ok"
"Ames 26135","CI 82B","Ames26135:250035082",0.310327,"other","ok"
"Ames 26136","CI 84B","Ames26136:250034994",0.29482,"other","ok"
"Ames 26137","CI 91C","Ames26137:250034934",0.281223,"other","ok"
"Ames 26138","CI 187-2","Ames26138:250033099",0.122494,"other","ok"
"Ames 26604","38-11","Ames26604:250033399",0.131759,"other","ok"
"Ames 26741","WX187-2","Ames26741:250033839",0.15709,"other","ok"
"Ames 26742","WX33-16","Ames26742:250033733",0.17039,"other","ok"
"Ames 26743","WX38-11","Ames26743:250033792",0.138417,"other","ok"
"Ames 26744","WXB14","Ames26744:250031397",0.0727072,"other","ok"
"Ames 26745","WXB6","Ames26745:250033805",0.222817,"other","ok"
"Ames 26746","WXHy","Ames26746:250031582",0.129353,"other","ok"
"Ames 26747","WXI198","Ames26747:250031650",0.22551,"other","ok"
"Ames 26748","WXI205","Ames26748:250033721",0.187141,"other","ok"
"Ames 26749","WXK41","Ames26749:250031315",0.300813,"other","ok"
"Ames 26750","WXK44","Ames26750:250031251",0.28029,"other","ok"
"Ames 26751","WXK55","Ames26751:250031420",0.142124,"other","ok"
"Ames 26752","WXK64","Ames26752:250033652",0.156347,"other","ok"
"Ames 26753","WXL289","Ames26753:250031692",0.40352,"other","ok"
"Ames 26754","WXL317","Ames26754:250033799",0.173792,"other","ok"
"Ames 26755","WXM14","Ames26755:250031580",0.141043,"other","ok"
"Ames 26756","WXOs420","Ames26756:250031933",0.186695,"other","ok"
"Ames 26757","WXW22","Ames26757:250033725",0.110508,"other","ok"
"Ames 26758","WXWF9","Ames26758:250040763",0.0996603,"other","ok"
"Ames 26767","W64A ae","Ames26767:250031459",0.104885,"other","ok"
"Ames 26768","W64A ae/wx","Ames26768:250033856",0.10996,"other","ok"
"Ames 26770","66","Ames26770:250031038",0.263097,"other","ok"
"Ames 26771","33-16","Ames26771:250032036",0.168298,"other","ok"
"Ames 26772","H5","Ames26772:250031327",0.14297,"other","ok"
"Ames 26773","H10","Ames26773:250031015",0.125362,"other","ok"
"Ames 26774","H14","Ames26774:250033529",0.223487,"other","ok"
"Ames 26775","H19","Ames26775:250034670",0.371283,"other","ok"
"Ames 26776","H22w","Ames26776:250031156",0.324932,"other","ok"
"Ames 26777","H23w","Ames26777:250034976",0.228728,"other","ok"
"Ames 26778","H26w","Ames26778:250034568",0.294554,"other","ok"
"Ames 26779","H27w","Ames26779:250035088",0.253958,"other","ok"
"Ames 26780","H28w","Ames26780:250035068",0.189066,"other","ok"
"Ames 26781","H29w","Ames26781:250034873",0.157189,"other","ok"
"Ames 26782","H30w","Ames26782:250031073",0.139468,"other","ok"
"Ames 26783","H41","Ames26783:250033734",0.177884,"other","ok"
"Ames 26784","H42","Ames26784:250031694",0.127417,"other","ok"
"Ames 26785","H45","Ames26785:250033820",0.123599,"other","ok"
"Ames 26786","H46","Ames26786:250031382",0.135642,"other","ok"
"Ames 26787","H49","Ames26787:250033850",0.15186,"other","ok"
"Ames 26788","H50","Ames26788:250031403",0.136383,"other","ok"
"Ames 26789","H51","Ames26789:250031618",0.161525,"other","ok"
"Ames 26791","H55","Ames26791:250031494",0.143037,"other","ok"
"Ames 26793","H71","Ames26793:250033860",0.122367,"other","ok"
"Ames 26794","H73","Ames26794:250034719",0.241967,"other","ok"
"Ames 26795","H88","Ames26795:250031691",0.135821,"other","ok"
"Ames 26796","H93","Ames26796:250031437",0.0897616,"other","ok"
"Ames 26797","H96","Ames26797:250031511",0.148115,"other","ok"
"Ames 26798","H98","Ames26798:250031326",0.122414,"other","ok"
"Ames 26800","H106w","Ames26800:250031557",0.161217,"other","ok"
"Ames 26801","H108","Ames26801:250033801",0.0833468,"other","ok"
"Ames 26802","H109","Ames26802:250033803",0.0779369,"other","ok"
"Ames 26803","H113","Ames26803:250033724",0.188868,"other","ok"
"Ames 26804","H121","Ames26804:250031495",0.228233,"other","ok"
"Ames 26805","H122w","Ames26805:250031585",0.0758054,"other","ok"
"Ames 26806","H124w","Ames26806:250031307",0.221414,"other","ok"
"Ames 26808","Ill.Hy","Ames26808:250040784",0.12801,"other","ok"
"Ames 26909","Mo41","Ames26909:250031122",0.101745,"other","ok"
"Ames 27018","CH711-10","Ames27018:250033460",0.113929,"other","ok"
"Ames 27019","CH732-12","Ames27019:250032438",0.126086,"other","ok"
"Ames 27020","CH741-6","Ames27020:250032550",0.131229,"other","ok"
"Ames 27021","CH753-4","Ames27021:250032463",0.0992427,"other","ok"
"Ames 27024","CL17","Ames27024:250034749",0.279104,"other","ok"
"Ames 27025","CL18","Ames27025:250035226",0.331542,"other","ok"
"Ames 27026","CL19","Ames27026:250032509",0.324629,"other","ok"
"Ames 27029","CL27","Ames27029:250032586",0.346739,"other","ok"
