"ID","Pedigree","Comments_merged","Comments_isu_gb","Comments_note"
"Ames10249","GA212","other_unclassified","unclassified","ok"
"Ames10252","GA222","other_unclassified","unclassified","ok"
"Ames10254","GE54","other_unclassified","unclassified","ok"
"Ames10255","GE72","other_unclassified","unclassified","ok"
"Ames10256","GE129","other_unclassified","unclassified","ok"
"Ames10261","GE335","other_unclassified","unclassified","ok"
"Ames10265","L 678","other_unclassified","unclassified","ok"
"Ames10271","SC84E","other_unclassified","unclassified","ok"
"Ames10272","SC90","other_unclassified","unclassified","ok"
"Ames10273","SC102","other_unclassified","unclassified","ok"
"Ames10274","SC144","other_unclassified","unclassified","ok"
"Ames10277","SC235","other_unclassified","unclassified","ok"
"Ames10287","ABPl 3","other_unclassified","unclassified","ok"
"Ames12727","NC83","other_unclassified","unclassified","ok"
"Ames12728","NC220","other_unclassified","unclassified","ok"
"Ames12729","NC222","other_unclassified","unclassified","ok"
"Ames12730","NC224","other_unclassified","unclassified","ok"
"Ames12731","NC230","other_unclassified","unclassified","ok"
"Ames12740","NC248","other_unclassified","unclassified","ok"
"Ames12814","89S4083","other_unclassified","unclassified","ok"
"Ames12815","89S4098","other_unclassified","unclassified","ok"
"Ames12816","89S4107","other_unclassified","unclassified","ok"
"Ames12817","89S4110","other_unclassified","unclassified","ok"
"Ames12818","89S4117","other_unclassified","unclassified","ok"
"Ames12819","89S4125","other_unclassified","unclassified","ok"
"Ames12820","89S4127","other_unclassified","unclassified","ok"
"Ames12821","89S4145","other_unclassified","unclassified","ok"
"Ames12822","89S4154","other_unclassified","unclassified","ok"
"Ames12823","89S4157","other_unclassified","unclassified","ok"
"Ames12824","89S4190","other_unclassified","unclassified","ok"
"Ames14112","Va3A","other_unclassified","unclassified","ok"
"Ames14113","Va12C","other_unclassified","unclassified","ok"
"Ames14114","Va14A","other_unclassified","unclassified","ok"
"Ames14115","Va35C","other_non-stiff stalk","non-stiff stalk","ok"
"Ames14116","Va36A","other_non-stiff stalk","non-stiff stalk","ok"
"Ames14211","EAST 028 WHITE COB","other_unclassified","unclassified","ok"
"Ames18999","Ab28A","other_unclassified","unclassified","ok"
"Ames19000","VaW6","other_unclassified","unclassified","ok"
"Ames19001","Va16","other_unclassified","unclassified","ok"
"Ames19002","Va17","other_unclassified","unclassified","ok"
"Ames19003","Va18A","other_unclassified","unclassified","ok"
"Ames19004","Va21A","other_unclassified","unclassified","ok"
"Ames19006","Va22B","other_non-stiff stalk","non-stiff stalk","ok"
"Ames19007","Va23","other_unclassified","unclassified","ok"
"Ames19008","Va24","other_unclassified","unclassified","ok"
"Ames19009","Va30","other_unclassified","unclassified","ok"
"Ames19010","Va37","other_unclassified","unclassified","ok"
"Ames19011","Va38","other_unclassified","unclassified","ok"
"Ames19012","Va39","other_unclassified","unclassified","ok"
"Ames19013","Va46","other_unclassified","unclassified","ok"
"Ames19014","Va52","other_unclassified","unclassified","ok"
"Ames19016","Va59","other_non-stiff stalk","non-stiff stalk","ok"
"Ames19017","Va60","other_unclassified","unclassified","ok"
"Ames19019","Va91","other_unclassified","unclassified","ok"
"Ames19283","B37 TRf","other_stiff stalk","stiff stalk","ok"
"Ames19284","C103","other_non-stiff stalk","non-stiff stalk","ok"
"Ames19287","Mo17TRf","other_non-stiff stalk","non-stiff stalk","ok"
"Ames19288","Oh43","other_non-stiff stalk","non-stiff stalk","ok"
"Ames19293","Wf9","other_stiff stalk","stiff stalk","ok"
"Ames19308","A634","other_stiff stalk","stiff stalk","ok"
"Ames19309","A635","other_stiff stalk","stiff stalk","ok"
"Ames19311","A641","other_stiff stalk","stiff stalk","ok"
"Ames19313","C123","other_non-stiff stalk","non-stiff stalk","ok"
"Ames19316","CM174","other_unclassified","unclassified","ok"
"Ames19318","H107","other_non-stiff stalk","non-stiff stalk","ok"
"Ames19319","H95","other_non-stiff stalk","non-stiff stalk","ok"
"Ames19321","N28","other_unclassified","unclassified","ok"
"Ames19323","Oh7B","other_unclassified","unclassified","ok"
"Ames19324","Pa871","other_unclassified","unclassified","ok"
"Ames19326","R168","other_unclassified","unclassified","ok"
"Ames19327","Tx303","other_unclassified","unclassified","ok"
"Ames19328","Va22","other_non-stiff stalk","non-stiff stalk","ok"
"Ames19330","W182B","other_unclassified","unclassified","ok"
"Ames20118","Mo25W","other_unclassified","unclassified","ok"
"Ames20120","Mo42","other_non-stiff stalk","non-stiff stalk","ok"
"Ames20136","H21W","other_unclassified","unclassified","ok"
"Ames20137","H25W","other_non-stiff stalk","non-stiff stalk","ok"
"Ames20140","Mt42","other_unclassified","unclassified","ok"
"Ames20190","CM37","other_unclassified","unclassified","ok"
"Ames21095","R12","other_unclassified","unclassified","ok"
"Ames21096","R35","other_unclassified","unclassified","ok"
"Ames21512","CI31A","other_unclassified","unclassified","ok"
"Ames22439","A73","other_unclassified","unclassified","ok"
"Ames22440","CI90C","other_NA","unknown","ok"
"Ames22441","CH157","other_unclassified","unclassified","ok"
"Ames22442","Ms100","other_unclassified","unclassified","ok"
"Ames22747","CM48","other_unclassified","unclassified","ok"
"Ames22748","H100","other_stiff stalk","stiff stalk","ok"
"Ames22750","H112","other_non-stiff stalk","non-stiff stalk","ok"
"Ames22751","H114","other_unclassified","unclassified","ok"
"Ames22752","H119","other_unclassified","unclassified","ok"
"Ames22753","H123","other_stiff stalk","stiff stalk","ok"
"Ames22754","K55","other_unclassified","unclassified","ok"
"Ames22756","Os426","other_stiff stalk","stiff stalk","ok"
"Ames22757","Pa405","other_non-stiff stalk","non-stiff stalk","ok"
"Ames22759","Tx29A","other_unclassified","unclassified","ok"
"Ames22760","Tx71","other_unclassified","unclassified","ok"
"Ames22762","Tx118","other_unclassified","unclassified","ok"
"Ames22765","Tx738","other_unclassified","unclassified","ok"
"Ames22766","Tx817w","other_unclassified","unclassified","ok"
"Ames22767","W59E","other_unclassified","unclassified","ok"
"Ames22792","ABPl 2","other_unclassified","unclassified","ok"
"Ames22793","ABPl 4","other_unclassified","unclassified","ok"
"Ames22794","ABPl 5","other_unclassified","unclassified","ok"
"Ames2327","Lai 1029","other_unclassified","unclassified","ok"
"Ames2328","North 7","other_unclassified","unclassified","ok"
"Ames2329","SW 322","other_unclassified","unclassified","ok"
"Ames2330","East 028","other_unclassified","unclassified","ok"
"Ames2331","Yellow 3-4","other_unclassified","unclassified","ok"
"Ames2332","Bei 10 = North 10","other_unclassified","unclassified","ok"
"Ames2333","Yong 28","other_unclassified","unclassified","ok"
"Ames2334","Yong 28 (br2)","other_unclassified","unclassified","ok"
"Ames2335","Ye 4","other_unclassified","unclassified","ok"
"Ames2336","52220","other_unclassified","unclassified","ok"
"Ames2337","Huanyao","other_unclassified","unclassified","ok"
"Ames2338","(Twan x Tzuh)-S6","other_unclassified","unclassified","ok"
"Ames23389","A15","other_unclassified","unclassified","ok"
"Ames2339","Huobai","other_unclassified","unclassified","ok"
"Ames23391","A34","other_unclassified","unclassified","ok"
"Ames23392","A90","other_unclassified","unclassified","ok"
"Ames23393","A96","other_unclassified","unclassified","ok"
"Ames23394","A116","other_unclassified","unclassified","ok"
"Ames23395","A152","other_unclassified","unclassified","ok"
"Ames23396","A155","other_unclassified","unclassified","ok"
"Ames23397","A158","other_unclassified","unclassified","ok"
"Ames23398","A166","other_unclassified","unclassified","ok"
"Ames23399","A201","other_unclassified","unclassified","ok"
"Ames2340","WFg 3-9","other_unclassified","unclassified","ok"
"Ames23400","A203","other_unclassified","unclassified","ok"
"Ames23401","A204","other_unclassified","unclassified","ok"
"Ames23402","A208","other_unclassified","unclassified","ok"
"Ames23403","A218","other_unclassified","unclassified","ok"
"Ames23404","A223","other_unclassified","unclassified","ok"
"Ames23405","A239","other_unclassified","unclassified","ok"
"Ames23406","A251","other_unclassified","unclassified","ok"
"Ames23407","A257","other_unclassified","unclassified","ok"
"Ames23408","A260","other_unclassified","unclassified","ok"
"Ames23409","A264","other_unclassified","unclassified","ok"
"Ames2341","S330","other_unclassified","unclassified","ok"
"Ames23410","A265","other_unclassified","unclassified","ok"
"Ames23413","A286","other_unclassified","unclassified","ok"
"Ames23414","A288","other_unclassified","unclassified","ok"
"Ames23415","A295","other_unclassified","unclassified","ok"
"Ames23417","A305","other_unclassified","unclassified","ok"
"Ames23418","A308","other_unclassified","unclassified","ok"
"Ames23419","A310","other_unclassified","unclassified","ok"
"Ames23420","A312","other_unclassified","unclassified","ok"
"Ames23421","A321","other_unclassified","unclassified","ok"
"Ames23422","A322","other_unclassified","unclassified","ok"
"Ames23423","A334","other_unclassified","unclassified","ok"
"Ames23424","A340","other_unclassified","unclassified","ok"
"Ames23425","A344","other_unclassified","unclassified","ok"
"Ames23426","A357","other_unclassified","unclassified","ok"
"Ames23427","A374","other_unclassified","unclassified","ok"
"Ames23428","A375","other_unclassified","unclassified","ok"
"Ames23429","A385","other_unclassified","unclassified","ok"
"Ames23430","A401","other_unclassified","unclassified","ok"
"Ames23431","A407","other_unclassified","unclassified","ok"
"Ames23433","A422","other_unclassified","unclassified","ok"
"Ames23434","A424","other_unclassified","unclassified","ok"
"Ames23435","A427","other_unclassified","unclassified","ok"
"Ames23436","A449","other_unclassified","unclassified","ok"
"Ames23437","A450","other_unclassified","unclassified","ok"
"Ames23438","A451","other_unclassified","unclassified","ok"
"Ames23439","A480","other_unclassified","unclassified","ok"
"Ames23440","A495","other_unclassified","unclassified","ok"
"Ames23441","A497","other_unclassified","unclassified","ok"
"Ames23442","A498","other_unclassified","unclassified","ok"
"Ames23443","A499","other_unclassified","unclassified","ok"
"Ames23444","A500","other_unclassified","unclassified","ok"
"Ames23445","A502","other_unclassified","unclassified","ok"
"Ames23446","A508","other_unclassified","unclassified","ok"
"Ames23447","A509","other_unclassified","unclassified","ok"
"Ames23448","A547","other_unclassified","unclassified","ok"
"Ames23449","A548","other_unclassified","unclassified","ok"
"Ames23450","A556","other_unclassified","unclassified","ok"
"Ames23451","A572","other_unclassified","unclassified","ok"
"Ames23452","A575","other_unclassified","unclassified","ok"
"Ames23455","A588","other_unclassified","unclassified","ok"
"Ames23456","A617","other_unclassified","unclassified","ok"
"Ames23457","A618","other_unclassified","unclassified","ok"
"Ames23458","A619HT","other_non-stiff stalk","non-stiff stalk","ok"
"Ames23459","A622","other_unclassified","unclassified","ok"
"Ames23460","A624","other_unclassified","unclassified","ok"
"Ames23461","A625","other_unclassified","unclassified","ok"
"Ames23463","A627","other_unclassified","unclassified","ok"
"Ames23464","A628","other_unclassified","unclassified","ok"
"Ames23465","A629","other_unclassified","unclassified","ok"
"Ames23466","A630","other_unclassified","unclassified","ok"
"Ames23467","A631","other_unclassified","unclassified","ok"
"Ames23468","A632HT","other_unclassified","unclassified","ok"
"Ames23469","A632HTN","other_stiff stalk","stiff stalk","ok"
"Ames23470","A632RpRp","other_stiff stalk","stiff stalk","ok"
"Ames23471","A633","other_stiff stalk","stiff stalk","ok"
"Ames23473","A635RpRp","other_stiff stalk","stiff stalk","ok"
"Ames23474","A636","other_unclassified","unclassified","ok"
"Ames23475","A637","other_unclassified","unclassified","ok"
"Ames23476","A638","other_unclassified","unclassified","ok"
"Ames23477","A640","other_unclassified","unclassified","ok"
"Ames23478","A643","other_unclassified","unclassified","ok"
"Ames23479","A644","other_unclassified","unclassified","ok"
"Ames23480","A645","other_unclassified","unclassified","ok"
"Ames23481","A646","other_unclassified","unclassified","ok"
"Ames23482","A649","other_unclassified","unclassified","ok"
"Ames23483","A650","other_unclassified","unclassified","ok"
"Ames23484","A651","other_unclassified","unclassified","ok"
"Ames23485","A652","other_stiff stalk","stiff stalk","ok"
"Ames23486","A653","other_unclassified","unclassified","ok"
"Ames23487","A655","other_unclassified","unclassified","ok"
"Ames23488","A656","other_unclassified","unclassified","ok"
"Ames23490","A666","other_unclassified","unclassified","ok"
"Ames23491","A667","other_stiff stalk","stiff stalk","ok"
"Ames23492","A668","other_unclassified","unclassified","ok"
"Ames23493","A669","other_unclassified","unclassified","ok"
"Ames23494","A670","other_stiff stalk","stiff stalk","ok"
"Ames23495","A671","other_unclassified","unclassified","ok"
"Ames23496","A672","other_unclassified","unclassified","ok"
"Ames23497","A673","other_unclassified","unclassified","ok"
"Ames23498","A674","other_unclassified","unclassified","ok"
"Ames23499","A675","other_unclassified","unclassified","ok"
"Ames23500","A676","other_unclassified","unclassified","ok"
"Ames23501","A677","other_unclassified","unclassified","ok"
"Ames23502","A678","other_unclassified","unclassified","ok"
"Ames23503","A680","other_stiff stalk","stiff stalk","ok"
"Ames23504","A681","other_stiff stalk","stiff stalk","ok"
"Ames23505","A683","other_unclassified","unclassified","ok"
"Ames23922","Oh51A","other_unclassified","unclassified","ok"
"Ames23924","Tx706","other_unclassified","unclassified","ok"
"Ames24585","CG10","other_unclassified","unclassified","ok"
"Ames24589","I159","other_unclassified","unclassified","ok"
"Ames24590","I198","other_unclassified","unclassified","ok"
"Ames24704","MS1","other_non-stiff stalk","non-stiff stalk","ok"
"Ames24705","MS4","other_unclassified","unclassified","ok"
"Ames24706","MS12","other_unclassified","unclassified","ok"
"Ames24707","MS24","other_unclassified","unclassified","ok"
"Ames24708","MS24A","other_unclassified","unclassified","ok"
"Ames24709","MS57","other_non-stiff stalk","non-stiff stalk","ok"
"Ames24710","MS67","other_unclassified","unclassified","ok"
"Ames24711","MS68","other_non-stiff stalk","non-stiff stalk","ok"
"Ames24712","MS71","other_NA","unknown","ok"
"Ames24713","MS72","other_unclassified","unclassified","ok"
"Ames24714","MS74","other_unclassified","unclassified","ok"
"Ames24715","MS75","other_unclassified","unclassified","ok"
"Ames24716","MS76","other_unclassified","unclassified","ok"
"Ames24717","MS77","other_unclassified","unclassified","ok"
"Ames24718","MS78","other_unclassified","unclassified","ok"
"Ames24719","MS79","other_unclassified","unclassified","ok"
"Ames24720","MS80","other_unclassified","unclassified","ok"
"Ames24722","MS89","other_unclassified","unclassified","ok"
"Ames24723","MS91","other_unclassified","unclassified","ok"
"Ames24724","MS92","other_unclassified","unclassified","ok"
"Ames24725","MS93","other_unclassified","unclassified","ok"
"Ames24726","MS100","other_NA","unknown","ok"
"Ames24727","MS106","other_unclassified","unclassified","ok"
"Ames24728","MS107","other_unclassified","unclassified","ok"
"Ames24729","MS116","other_unclassified","unclassified","ok"
"Ames24730","MS132","other_stiff stalk","stiff stalk","ok"
"Ames24732","MS141","other_unclassified","unclassified","ok"
"Ames24733","MS142","other_unclassified","unclassified","ok"
"Ames24734","MS153","other_unclassified","unclassified","ok"
"Ames24735","MS198","other_unclassified","unclassified","ok"
"Ames24736","MS199","other_unclassified","unclassified","ok"
"Ames24737","MS200","other_unclassified","unclassified","ok"
"Ames24738","MS201","other_unclassified","unclassified","ok"
"Ames24739","MS203","other_unclassified","unclassified","ok"
"Ames24740","MS204","other_unclassified","unclassified","ok"
"Ames24741","MS206","other_unclassified","unclassified","ok"
"Ames24742","MS211","other_unclassified","unclassified","ok"
"Ames24743","MS214","other_stiff stalk","stiff stalk","ok"
"Ames24744","MS215","other_unclassified","unclassified","ok"
"Ames24745","MS216","other_unclassified","unclassified","ok"
"Ames24746","MS221","other_non-stiff stalk","non-stiff stalk","ok"
"Ames24747","MS222","other_non-stiff stalk","non-stiff stalk","ok"
"Ames24748","MS223","other_non-stiff stalk","non-stiff stalk","ok"
"Ames24749","MS224","other_non-stiff stalk","non-stiff stalk","ok"
"Ames24750","MS225","other_non-stiff stalk","non-stiff stalk","ok"
"Ames24751","MS226","other_unclassified","unclassified","ok"
"Ames24752","MS1334","other_unclassified","unclassified","ok"
"Ames24989","Va99","other_non-stiff stalk","non-stiff stalk","ok"
"Ames25219","A619Ht1","other_non-stiff stalk","non-stiff stalk","ok"
"Ames25220","A619Ht2","other_non-stiff stalk","non-stiff stalk","ok"
"Ames25221","A619Ht3","other_non-stiff stalk","non-stiff stalk","ok"
"Ames2523","38-11R PARENT HB 19 INB","other_stiff stalk","stiff stalk","ok"
"Ames25372","Pa91HT1","other_stiff stalk","stiff stalk","ok"
"Ames25373","Pa91HT2","other_unclassified","unclassified","ok"
"Ames25374","Pa91HT3","other_stiff stalk","stiff stalk","ok"
"Ames25559","H60","other_unclassified","unclassified","ok"
"Ames26021","P8","other_unclassified","unclassified","ok"
"Ames26022","Tr","other_unclassified","unclassified","ok"
"Ames26028","CI 540","other_unclassified","unclassified","ok"
"Ames26114","CI 1","other_unclassified","unclassified","ok"
"Ames26115","CI 2","other_unclassified","unclassified","ok"
"Ames26116","CI 3A","other_unclassified","unclassified","ok"
"Ames26118","CI 11B","other_unclassified","unclassified","ok"
"Ames26119","CI 19","other_unclassified","unclassified","ok"
"Ames26120","CI 20","other_unclassified","unclassified","ok"
"Ames26121","CI 28","other_unclassified","unclassified","ok"
"Ames26122","CI 28B","other_unclassified","unclassified","ok"
"Ames26123","CI 28C","other_unclassified","unclassified","ok"
"Ames26124","CI 30","other_unclassified","unclassified","ok"
"Ames26125","CI 31","other_unclassified","unclassified","ok"
"Ames26126","CI 32","other_unclassified","unclassified","ok"
"Ames26127","CI 34","other_unclassified","unclassified","ok"
"Ames26128","CI 40H","other_unclassified","unclassified","ok"
"Ames26129","CI 41","other_unclassified","unclassified","ok"
"Ames26130","CI 46","other_unclassified","unclassified","ok"
"Ames26131","CI 70","other_unclassified","unclassified","ok"
"Ames26133","CI 74","other_unclassified","unclassified","ok"
"Ames26134","CI 75","other_unclassified","unclassified","ok"
"Ames26135","CI 82B","other_unclassified","unclassified","ok"
"Ames26136","CI 84B","other_unclassified","unclassified","ok"
"Ames26137","CI 91C","other_unclassified","unclassified","ok"
"Ames26138","CI 187-2","other_stiff stalk","stiff stalk","ok"
"Ames26604","38-11","other_unclassified","unclassified","ok"
"Ames26741","WX187-2","other_unclassified","unclassified","ok"
"Ames26742","WX33-16","other_stiff stalk","stiff stalk","ok"
"Ames26743","WX38-11","other_stiff stalk","stiff stalk","ok"
"Ames26744","WXB14","other_stiff stalk","stiff stalk","ok"
"Ames26745","WXB6","other_unclassified","unclassified","ok"
"Ames26746","WXHy","other_unclassified","unclassified","ok"
"Ames26747","WXI198","other_non-stiff stalk","non-stiff stalk","ok"
"Ames26748","WXI205","other_non-stiff stalk","non-stiff stalk","ok"
"Ames26749","WXK41","other_unclassified","unclassified","ok"
"Ames26750","WXK44","other_unclassified","unclassified","ok"
"Ames26751","WXK55","other_unclassified","unclassified","ok"
"Ames26752","WXK64","other_unclassified","unclassified","ok"
"Ames26753","WXL289","other_non-stiff stalk","non-stiff stalk","ok"
"Ames26754","WXL317","other_non-stiff stalk","non-stiff stalk","ok"
"Ames26755","WXM14","other_unclassified","unclassified","ok"
"Ames26756","WXOs420","other_stiff stalk","stiff stalk","ok"
"Ames26757","WXW22","other_non-stiff stalk","non-stiff stalk","ok"
"Ames26758","WXWF9","other_stiff stalk","stiff stalk","ok"
"Ames26770","66","other_unclassified","unclassified","ok"
"Ames26771","33-16","other_unclassified","unclassified","ok"
"Ames26772","H5","other_unclassified","unclassified","ok"
"Ames26773","H10","other_unclassified","unclassified","ok"
"Ames26774","H14","other_unclassified","unclassified","ok"
"Ames26775","H19","other_unclassified","unclassified","ok"
"Ames26776","H22w","other_non-stiff stalk","non-stiff stalk","ok"
"Ames26777","H23w","other_unclassified","unclassified","ok"
"Ames26778","H26w","other_unclassified","unclassified","ok"
"Ames26779","H27w","other_unclassified","unclassified","ok"
"Ames26780","H28w","other_unclassified","unclassified","ok"
"Ames26781","H29w","other_unclassified","unclassified","ok"
"Ames26782","H30w","other_unclassified","unclassified","ok"
"Ames26783","H41","other_unclassified","unclassified","ok"
"Ames26784","H42","other_unclassified","unclassified","ok"
"Ames26785","H45","other_stiff stalk","stiff stalk","ok"
"Ames26786","H46","other_stiff stalk","stiff stalk","ok"
"Ames26787","H49","other_unclassified","unclassified","ok"
"Ames26788","H50","other_unclassified","unclassified","ok"
"Ames26789","H51","other_unclassified","unclassified","ok"
"Ames26791","H55","other_unclassified","unclassified","ok"
"Ames26793","H71","other_unclassified","unclassified","ok"
"Ames26794","H73","other_unclassified","unclassified","ok"
"Ames26795","H88","other_unclassified","unclassified","ok"
"Ames26796","H93","other_unclassified","unclassified","ok"
"Ames26797","H96","other_unclassified","unclassified","ok"
"Ames26798","H98","other_unclassified","unclassified","ok"
"Ames26800","H106w","other_unclassified","unclassified","ok"
"Ames26801","H108","other_non-stiff stalk","non-stiff stalk","ok"
"Ames26802","H109","other_non-stiff stalk","non-stiff stalk","ok"
"Ames26803","H113","other_unclassified","unclassified","ok"
"Ames26804","H121","other_unclassified","unclassified","ok"
"Ames26805","H122w","other_unclassified","unclassified","ok"
"Ames26806","H124w","other_unclassified","unclassified","ok"
"Ames26808","Ill.Hy","other_stiff stalk","stiff stalk","ok"
"Ames26909","Mo41","other_unclassified","unclassified","ok"
"Ames27018","CH711-10","other_unclassified","unclassified","ok"
"Ames27019","CH732-12","other_unclassified","unclassified","ok"
"Ames27020","CH741-6","other_unclassified","unclassified","ok"
"Ames27021","CH753-4","other_unclassified","unclassified","ok"
"Ames27024","CL17","other_unclassified","unclassified","ok"
"Ames27025","CL18","other_unclassified","unclassified","ok"
"Ames27026","CL19","other_unclassified","unclassified","ok"
"Ames27029","CL27","other_unclassified","unclassified","ok"
"Ames27031","CM99","other_unclassified","unclassified","ok"
