Pedigree,Source,Gen,Comments
M6411,PI 506411,519,sweet corn
Il 101T,Ames 27119,472,sweet corn
C27,Ames 22019,212,sweet corn
STRAIN T20-2-68(B),PI 358534,995,sweet corn
C22,Ames 22018,242,sweet corn
C30,Ames 26815,54,sweet corn
13B-587-68(A),PI 358522,201,sweet corn
909,PI 233322,83,sweet corn
P39,PI 587133,932,sweet corn
P39,NSL 8585,179,sweet corn
STRAIN 451B-4-68(B),PI 358529,377,sweet corn
STRAIN T35-388-68(A),PI 358539,680,sweet corn
908,PI 233321,195,sweet corn
STRAIN T36(101T)-394-68,PI 358533,711,sweet corn
W 6714,Ames 22061,343,sweet corn
STRAIN T24-395-68(B),PI 358536,485,sweet corn
C31,Ames 22020,213,sweet corn
Ia 5145,Ames 22031,974,sweet corn
829,PI 233319,1693,sweet corn
R853,NSL 42808,693,sweet corn
C38,Ames 22021,7,sweet corn
C38,Ames 23506,17,sweet corn
442A-431-68(D),PI 358528,266,sweet corn
Il677a,Ames 27120,1269,sweet corn
C12-1,Ames 22015,241,sweet corn
W 5552,Ames 22057,254,sweet corn
STRAIN 304A-408-68(B),PI 358527,406,sweet corn
Ma32,Ames 22036,28,sweet corn
P51,Ames 22049,311,sweet corn
M 23,Ames 22034,8,sweet corn
C15,Ames 22016,763,sweet corn
Ia 2076,Ames 22029,246,sweet corn
IP 39,Ames 22032,134,sweet corn
Ia CG4189,Ames 22025,214,sweet corn
Il779a,Ames 27447,1473,sweet corn
Ia 2003,Ames 22028,215,sweet corn
W 3647,Ames 22053,312,sweet corn
W 7151,Ames 22067,12,sweet corn
W 5543,Ames 22056,11,sweet corn
Oh43 (su),Ames 26765,785,sweet corn
Il731a,Ames 27444,760,sweet corn
277,PI 233315,193,sweet corn
Il767b,Ames 27445,886,sweet corn
P51B,NSL 8582,355,sweet corn
P737M20,PI 644102,442,sweet corn
Me 244 Wb,Ames 22043,136,sweet corn
21-396-68(B),PI 358535,880,sweet corn
S8,Ames 23509,19,sweet corn
W 6757,Ames 22065,448,sweet corn
883,PI 233320,675,sweet corn
M6415,PI 506412,1426,sweet corn
R839,NSL 42806,802,sweet corn
P39A,NSL 8583,356,sweet corn
M 45,Ames 22035,135,sweet corn
W 5579,Ames 22058,255,sweet corn
C7e,Ames 22013,415,sweet corn
OC17,PI 596504,400,popcorn
Me 100,Ames 22038,247,sweet corn
C13,PI 587126,199,sweet corn
Me 123,Ames 22040,31,sweet corn
42,PI 233312,162,sweet corn
IA2132,PI 587134,121,sweet corn
C18,Ames 22017,133,sweet corn
C5,Ames 26813,139,sweet corn
NJ 159,Ames 22047,222,sweet corn
W 3722,Ames 22054,10,sweet corn
A684su,PI 567792,426,sweet corn
14H-588-68(B),PI 358523,598,sweet corn
Il14H,Ames 27118,3,sweet corn
27A-317-68(C),PI 358525,710,sweet corn
AD 175,Ames 28973,383,popcorn
W 6366,Ames 22059,736,sweet corn
226,PI 233314,50,sweet corn
IA2132 Goodman-Buckler,Ames 28364,382,sweet corn
P39M96,Ames 22048,310,sweet corn
Ill 101Q,Ames 22033,553,sweet corn
STRAIN T33-399-68(B),PI 358538,1027,sweet corn
AD SA15,Ames 29015,1478,popcorn
A686su,PI 567794,498,sweet corn
Me 121 Wa,Ames 22039,30,sweet corn
Oh43 sh2,Ames 26766,1557,sweet corn
R851,NSL 42807,772,sweet corn
NJ 116 Wb,Ames 22046,221,sweet corn
C40,Ames 22022,1254,sweet corn
GTS1,PI 550492,524,sweet corn
176,PI 233313,49,sweet corn
245,NSL 8579,1391,sweet corn
S43,Ames 23510,51,sweet corn
R825,NSL 42805,899,sweet corn
W 6728,Ames 22064,346,sweet corn
B-18 INBR.FR.SUPERGOLD,PI 340855,484,popcorn
AD SA21,Ames 29021,685,popcorn
R-PAH-1,PI 340872,1728,popcorn
W 6786,Ames 22066,256,sweet corn
Me 135,Ames 22041,9,sweet corn
B-22 INBR.FR.SUPERGOLD,PI 340857,566,popcorn
A632 su/su,Ames 26762,784,sweet corn
469,PI 233316,81,sweet corn
Me 1,Ames 22037,29,sweet corn
A632 sh2/sh2,Ames 26761,1465,sweet corn
IDS91,Ames 24577,1399,popcorn
AD SA19,Ames 29019,488,popcorn
R-4524,PI 340837,1205,popcorn
C7,Ames 22012,444,sweet corn
SG 30A,NSL 75980,1432,popcorn
A685su,PI 567793,617,sweet corn
P39 Goodman-Buckler,Ames 28186,20,sweet corn
Ia453,Ames 22030,522,sweet corn
W 3742,Ames 22055,253,sweet corn
C5 Ark 1956,Ames 22011,656,sweet corn
NJ 112,Ames 22044,219,sweet corn
AD 104 DS,Ames 28974,446,popcorn
STRAIN 465A-421-68(B),PI 358530,814,sweet corn
RB-15 DENT STERILE,PI 340846,1347,popcorn
592,PI 233317,82,sweet corn
AD H10,Ames 28989,891,popcorn
S4,Ames 23508,130,sweet corn
Ia Ev3004,Ames 22027,765,sweet corn
Me 244 Wa,Ames 22042,248,sweet corn
AD SA12,Ames 29012,970,popcorn
AD 157 DS,Ames 28981,447,popcorn
IA DS 53,PI 340876,1729,popcorn
C90,Ames 22024,416,sweet corn
W 6462,Ames 22060,107,sweet corn
AD SA20,Ames 29020,684,popcorn
C68,Ames 22023,521,sweet corn
AD SA14,Ames 29014,894,popcorn
B-17 INBR.FR.SUPERGOLD,PI 340850,1348,popcorn
789,PI 233318,194,sweet corn
81-1,NSL 8581,1710,sweet corn
AD SA6,Ames 29006,454,popcorn
AD Sg1501,Ames 29022,1176,popcorn
AD 221,Ames 28995,452,popcorn
BR-17 INBR.FR.SUPERGOLD,PI 340851,483,popcorn
RB-53 INBR.FR.YELPEARL,PI 340868,1455,popcorn
Ia5125B,Ames 27117,1055,sweet corn
NP87,PI 542716,1247,popcorn
AD SA5,Ames 29005,998,popcorn
AD SA2,Ames 29002,549,popcorn
AD 352,Ames 28980,651,popcorn
C8 pseudo,Ames 22014,240,sweet corn
AD 147,Ames 28975,678,popcorn
AD 139 DS,Ames 28971,474,popcorn
AD 139 DS??,Ames 28976,679,popcorn
AD SA9,Ames 29009,1204,popcorn
R-53-1 INBR.FR.YELPEARL,PI 340866,709,popcorn
AD 123 DS,Ames 28972,445,popcorn
IDS69,Ames 24576,948,popcorn
AD SA13,Ames 29013,1175,popcorn
W 3607,Ames 22052,975,sweet corn
AD 188L,Ames 28985,479,popcorn
AD SA11,Ames 29011,1506,popcorn
SA24,Ames 27188,4,popcorn
AD SA7,Ames 29007,893,popcorn
SG 18,NSL 75979,901,popcorn
BR-15 DENT STERILE,PI 340845,511,popcorn
OC9,PI 553062,392,popcorn
Sg 1533,PI 587132,1533,popcorn
AD SA8,Ames 29008,1383,popcorn
AD 316 DS,Ames 28977,963,popcorn
P51wx,Ames 22050,417,sweet corn
AD 363-1,Ames 28992,892,popcorn
C3,Ames 26812,53,sweet corn
AD 347 DS-1,Ames 28996,793,popcorn
AD SA18,Ames 29018,487,popcorn
AD 11 DS,Ames 28990,482,popcorn
AD 147 DS,Ames 28970,473,popcorn
AD 230 DS,Ames 28979,579,popcorn
R-22 INBR.FR.SUPERGOLD,PI 340859,879,popcorn
BR-1-1,PI 340835,510,popcorn
T64S,PI 509046,1625,sweet corn
R-PAH-1 IN.FR.TOM-THUMB,PI 340869,1207,popcorn
AD 187-1,Ames 28982,652,popcorn
AD 233,Ames 28987,859,popcorn
Ia5125,PI 587135,619,sweet corn
AD 188L DS,Ames 28994,792,popcorn
AD SA1,Ames 29001,1283,popcorn
AD SA17,Ames 29017,455,popcorn
HP301,PI 587131,1141,popcorn
AD SA16,Ames 29016,1284,popcorn
AD SA10,Ames 29010,999,popcorn
IDS28,Ames 24575,1288,popcorn
5261,NSL 15405,864,sweet corn
MINN #5,Ames 26004,1584,popcorn
AD SA3,Ames 29003,453,popcorn
T62S,PI 509045,1624,sweet corn
AD 440 DS-1,Ames 28999,1203,popcorn
AD 370,Ames 29030,686,popcorn
IA DS 38-W,PI 340874,1799,popcorn
IA DS 61,NSL 75976,1299,popcorn
HP62-02,PI 542776,823,popcorn
AD 238 DS,Ames 28978,650,popcorn
AD 402 DS,Ames 28986,480,popcorn
AD 26 DS,Ames 28988,481,popcorn
C42,Ames 23507,18,sweet corn
AD 330,Ames 28991,965,popcorn
AD 284,Ames 28984,964,popcorn
IA DS 62,NSL 75977,1330,popcorn
AD 448 DS,Ames 28998,997,popcorn
R-PAH-2,PI 340870,1727,popcorn
676A-348-68(B),PI 358532,599,sweet corn
IA DS 43-W,PI 340875,1508,popcorn
W 1736,Ames 22051,657,sweet corn
AD SA4,Ames 29004,1097,popcorn
R-18 INBR.FR.SUPERGOLD,PI 340856,781,popcorn
Il778d,Ames 27446,1472,sweet corn
Hi38 C1,Ames 28957,1803,sweet corn
A632 +/sh2,Ames 26760,535,sweet corn
STRAIN T32-397-68(B),PI 358537,1026,sweet corn
R-RAH-2 IN.FR.TOM-THUMB,PI 340873,1507,popcorn
RB-17 INBR.FR.SUPERGOLD,PI 340854,1454,popcorn
R-17 INBR.FR.SUPERGOLD,PI 340853,1119,popcorn
AD Sg1501-2,Ames 29024,1177,popcorn
OC19,PI 596506,1263,popcorn
AD Sg1501-3,Ames 29025,1315,popcorn
Mo17 +/su,Ames 26764,1082,sweet corn
Florida 32,PI 644100,633,sweet corn
AD 363-2,Ames 28993,1282,popcorn
AD Sg1501-1,Ames 29023,1415,popcorn
AD 347 DS-2,Ames 28997,996,popcorn
AD Sg1501-6,Ames 29028,1416,popcorn
AD Sg1501-5,Ames 29027,1480,popcorn
AD 440 DS-2,Ames 29000,1096,popcorn
AD 187-2,Ames 28983,653,popcorn
NJ 116 Wa,Ames 22045,220,sweet corn
NP86,PI 542715,1354,popcorn
B-15 DENT STERILE,PI 340841,1086,popcorn
R-15 DENT STERILE,PI 340844,1538,popcorn
AD Sg1501-4,Ames 29026,1479,popcorn
Ia Ev191,Ames 22026,764,sweet corn
B84 +/su,Ames 26763,983,sweet corn
W 6720-1,Ames 22062,344,sweet corn
W 6720-2,Ames 22063,345,sweet corn
R-53-2 INBR.FR.YELPEARL,PI 340867,567,GRIN popcorn
4722,PI 587130,1258,GRIN popcorn
CA-15-2 DENT STERILE,PI 340843,1118,GRIN popcorn
B-28,PI 340860,708,GRIN popcorn
R-28,PI 340862,1206,GRIN popcorn
R-28-2,PI 340863,782,GRIN popcorn
IA 88,PI 340878,1650,GRIN unknown
OC5,PI 553058,795,GRIN popcorn
OC7,PI 553060,1108,GRIN popcorn
I29,Ames 27115,1161,GRIN popcorn
CHI-69 INB.,PI 405706,379,GRIN unknown
OC8,PI 553061,796,GRIN popcorn
OC11,PI 553064,1632,GRIN popcorn
